,AUD,BEF,CHF,DEM,DKK,ESP,FRF,GBP,ITL,NLG,SEK
04-Jan-94 ,0.6849,0.0277,0.6725,0.5757,0.1476,0.0070,0.1693,1.4840,0.0006,0.5145,0.1210
05-Jan-94 ,0.6862,0.0276,0.6754,0.5745,0.1479,0.0069,0.1693,1.4875,0.0006,0.5139,0.1217
06-Jan-94 ,0.6844,0.0277,0.6754,0.5739,0.1479,0.0069,0.1690,1.4850,0.0006,0.5135,0.1216
07-Jan-94 ,0.6864,0.0278,0.6799,0.5775,0.1486,0.0069,0.1697,1.4905,0.0006,0.5164,0.1227
10-Jan-94 ,0.6865,0.0276,0.6791,0.5766,0.1485,0.0069,0.1692,1.4920,0.0006,0.5153,0.1227
11-Jan-94 ,0.6904,0.0276,0.6768,0.5750,0.1480,0.0069,0.1690,1.4910,0.0006,0.5130,0.1221
12-Jan-94 ,0.6905,0.0277,0.6821,0.5764,0.1488,0.0069,0.1695,1.5020,0.0006,0.5150,0.1226
13-Jan-94 ,0.6915,0.0274,0.6769,0.5713,0.1475,0.0069,0.1683,1.4970,0.0006,0.5101,0.1222
14-Jan-94 ,0.6900,0.0274,0.6757,0.5711,0.1476,0.0069,0.1683,1.4915,0.0006,0.5102,0.1220
17-Jan-94 ,0.6950,0.0274,0.6759,0.5698,0.1471,0.0070,0.1680,1.4920,0.0006,0.5091,0.1231
18-Jan-94 ,0.6966,0.0275,0.6831,0.5728,0.1475,0.0070,0.1686,1.4965,0.0006,0.5115,0.1237
19-Jan-94 ,0.7015,0.0275,0.6847,0.5726,0.1474,0.0070,0.1685,1.4915,0.0006,0.5114,0.1232
20-Jan-94 ,0.7038,0.0276,0.6880,0.5757,0.1480,0.0070,0.1693,1.5005,0.0006,0.5140,0.1236
21-Jan-94 ,0.7027,0.0275,0.6828,0.5722,0.1473,0.0070,0.1686,1.4955,0.0006,0.5108,0.1240
24-Jan-94 ,0.7030,0.0274,0.6828,0.5713,0.1472,0.0070,0.1684,1.4945,0.0006,0.5102,0.1242
25-Jan-94 ,0.7080,0.0276,0.6798,0.5701,0.1470,0.0071,0.1683,1.4930,0.0006,0.5093,0.1246
26-Jan-94 ,0.7085,0.0277,0.6798,0.5726,0.1474,0.0071,0.1687,1.4940,0.0006,0.5114,0.1255
27-Jan-94 ,0.7095,0.0278,0.6798,0.5729,0.1476,0.0071,0.1688,1.4940,0.0006,0.5114,0.1255
28-Jan-94 ,0.7089,0.0279,0.6842,0.5771,0.1485,0.0071,0.1696,1.5000,0.0006,0.5151,0.1259
31-Jan-94 ,0.7087,0.0279,0.6836,0.5745,0.1481,0.0071,0.1693,1.5005,0.0006,0.5129,0.1265
01-Feb-94 ,0.7168,0.0280,0.6894,0.5769,0.1488,0.0071,0.1702,1.5020,0.0006,0.5156,0.1269
02-Feb-94 ,0.7155,0.0279,0.6887,0.5767,0.1486,0.0071,0.1699,1.4957,0.0006,0.5148,0.1263
03-Feb-94 ,0.7155,0.0279,0.6896,0.5759,0.1482,0.0071,0.1696,1.4940,0.0006,0.5137,0.1268
04-Feb-94 ,0.7148,0.0273,0.6863,0.5711,0.1472,0.0071,0.1684,1.4795,0.0006,0.5106,0.1264
07-Feb-94 ,0.7150,0.0276,0.6798,0.5678,0.1464,0.0070,0.1675,1.4825,0.0006,0.5074,0.1254
08-Feb-94 ,0.7185,0.0275,0.6762,0.5674,0.1460,0.0070,0.1673,1.4725,0.0006,0.5063,0.1245
09-Feb-94 ,0.7180,0.0276,0.6775,0.5688,0.1462,0.0070,0.1677,1.4625,0.0006,0.5080,0.1246
10-Feb-94 ,0.7180,0.0277,0.6766,0.5701,0.1462,0.0070,0.1679,1.4625,0.0006,0.5090,0.1238
11-Feb-94 ,0.7150,0.0277,0.6768,0.5707,0.1464,0.0070,0.1680,1.4650,0.0006,0.5090,0.1238
14-Feb-94 ,0.7120,0.0279,0.6801,0.5737,0.1472,0.0071,0.1689,1.4710,0.0006,0.5119,0.1242
15-Feb-94 ,0.7092,0.0281,0.6880,0.5790,0.1477,0.0071,0.1700,1.4750,0.0006,0.5161,0.1243
16-Feb-94 ,0.7115,0.0282,0.6875,0.5802,0.1481,0.0071,0.1703,1.4760,0.0006,0.5172,0.1244
17-Feb-94 ,0.7153,0.0281,0.6866,0.5782,0.1483,0.0071,0.1702,1.4777,0.0006,0.5150,0.1256
18-Feb-94 ,0.7140,0.0282,0.6894,0.5821,0.1489,0.0071,0.1712,1.4795,0.0006,0.5184,0.1263
21-Feb-94 ,0.7148,0.0281,0.6860,0.5779,0.1480,0.0071,0.1700,1.4740,0.0006,0.5150,0.1254
22-Feb-94 ,0.7195,0.0282,0.6896,0.5796,0.1486,0.0071,0.1705,1.4785,0.0006,0.5168,0.1263
23-Feb-94 ,0.7257,0.0281,0.6881,0.5786,0.1481,0.0071,0.1703,1.4755,0.0006,0.5153,0.1259
24-Feb-94 ,0.7240,0.0282,0.6949,0.5814,0.1485,0.0072,0.1710,1.4850,0.0006,0.5180,0.1256
25-Feb-94 ,0.7215,0.0284,0.7001,0.5851,0.1495,0.0072,0.1721,1.4870,0.0006,0.5210,0.1250
28-Feb-94 ,0.7125,0.0286,0.7020,0.5874,0.1499,0.0072,0.1728,1.4885,0.0006,0.5229,0.1255
01-Mar-94 ,0.7147,0.0284,0.6952,0.5840,0.1492,0.0071,0.1716,1.4855,0.0006,0.5187,0.1245
02-Mar-94 ,0.7061,0.0285,0.7005,0.5874,0.1496,0.0072,0.1724,1.4950,0.0006,0.5233,0.1247
03-Mar-94 ,0.7062,0.0284,0.6984,0.5857,0.1498,0.0072,0.1723,1.4970,0.0006,0.5216,0.1251
04-Mar-94 ,0.7144,0.0283,0.6945,0.5821,0.1492,0.0071,0.1713,1.4895,0.0006,0.5185,0.1248
07-Mar-94 ,0.7190,0.0283,0.6952,0.5822,0.1491,0.0071,0.1713,1.4910,0.0006,0.5187,0.1250
08-Mar-94 ,0.7170,0.0283,0.6952,0.5827,0.1473,0.0071,0.1715,1.4875,0.0006,0.5188,0.1249
09-Mar-94 ,0.7145,0.0284,0.6964,0.5858,0.1500,0.0071,0.1721,1.4920,0.0006,0.5212,0.1251
10-Mar-94 ,0.7085,0.0288,0.7040,0.5927,0.1517,0.0072,0.1739,1.5005,0.0006,0.5275,0.1266
11-Mar-94 ,0.7105,0.0289,0.7054,0.5963,0.1526,0.0072,0.1751,1.5010,0.0006,0.5305,0.1278
14-Mar-94 ,0.7187,0.0287,0.6957,0.5914,0.1516,0.0072,0.1741,1.4945,0.0006,0.5266,0.1273
15-Mar-94 ,0.7179,0.0287,0.6951,0.5901,0.1512,0.0072,0.1736,1.4925,0.0006,0.5253,0.1270
16-Mar-94 ,0.7125,0.0287,0.6981,0.5923,0.1516,0.0072,0.1740,1.4935,0.0006,0.5272,0.1294
17-Mar-94 ,0.7128,0.0288,0.6978,0.5938,0.1516,0.0072,0.1742,1.4945,0.0006,0.5282,0.1277
18-Mar-94 ,0.7125,0.0287,0.6966,0.5914,0.1508,0.0072,0.1735,1.4930,0.0006,0.5261,0.1273
21-Mar-94 ,0.7095,0.0286,0.6959,0.5891,0.1502,0.0072,0.1727,1.4840,0.0006,0.5238,0.1267
22-Mar-94 ,0.7090,0.0287,0.6990,0.5924,0.1508,0.0072,0.1733,1.4865,0.0006,0.5268,0.1270
23-Mar-94 ,0.7105,0.0288,0.7010,0.5940,0.1511,0.0072,0.1738,1.4945,0.0006,0.5277,0.1272
24-Mar-94 ,0.7095,0.0290,0.7052,0.5997,0.1521,0.0073,0.1751,1.4945,0.0006,0.5329,0.1273
25-Mar-94 ,0.7120,0.0291,0.7062,0.6002,0.1521,0.0073,0.1751,1.4980,0.0006,0.5335,0.1268
28-Mar-94 ,0.7110,0.0291,0.7035,0.5985,0.1519,0.0073,0.1749,1.4970,0.0006,0.5320,0.1268
29-Mar-94 ,0.7045,0.0290,0.7015,0.5972,0.1515,0.0073,0.1745,1.4855,0.0006,0.5309,0.1265
30-Mar-94 ,0.6990,0.0290,0.7067,0.5974,0.1518,0.0073,0.1747,1.4825,0.0006,0.5315,0.1272
31-Mar-94 ,0.7010,0.0291,0.7092,0.5997,0.1524,0.0074,0.1755,1.4885,0.0006,0.5338,0.1279
04-Apr-94 ,0.7055,0.0286,0.7005,0.5893,0.1499,0.0072,0.1725,1.4680,0.0006,0.5243,0.1263
05-Apr-94 ,0.7042,0.0284,0.6927,0.5845,0.1488,0.0072,0.1711,1.4620,0.0006,0.5208,0.1250
06-Apr-94 ,0.7045,0.0283,0.6904,0.5831,0.1487,0.0072,0.1704,1.4695,0.0006,0.5196,0.1259
07-Apr-94 ,0.7132,0.0282,0.6894,0.5819,0.1486,0.0072,0.1700,1.4685,0.0006,0.5186,0.1264
08-Apr-94 ,0.7242,0.0284,0.6930,0.5844,0.1492,0.0072,0.1706,1.4765,0.0006,0.5206,0.1267
11-Apr-94 ,0.7225,0.0284,0.6938,0.5843,0.1493,0.0072,0.1707,1.4715,0.0006,0.5204,0.1268
12-Apr-94 ,0.7240,0.0283,0.6894,0.5812,0.1487,0.0072,0.1701,1.4745,0.0006,0.5182,0.1265
13-Apr-94 ,0.7215,0.0284,0.6939,0.5845,0.1492,0.0072,0.1708,1.4775,0.0006,0.5205,0.1263
14-Apr-94 ,0.7235,0.0285,0.6923,0.5851,0.1493,0.0072,0.1711,1.4770,0.0006,0.5213,0.1264
15-Apr-94 ,0.7235,0.0283,0.6880,0.5840,0.1490,0.0072,0.1707,1.4740,0.0006,0.5202,0.1262
18-Apr-94 ,0.7177,0.0282,0.6868,0.5817,0.1484,0.0071,0.1700,1.4725,0.0006,0.5183,0.1262
19-Apr-94 ,0.7150,0.0286,0.6935,0.5881,0.1498,0.0072,0.1714,1.4780,0.0006,0.5239,0.1262
20-Apr-94 ,0.7164,0.0286,0.6944,0.5898,0.1504,0.0072,0.1718,1.4855,0.0006,0.5251,0.1263
21-Apr-94 ,0.7135,0.0287,0.6972,0.5917,0.1509,0.0073,0.1726,1.4945,0.0006,0.5262,0.1269
22-Apr-94 ,0.7184,0.0287,0.6954,0.5905,0.1505,0.0072,0.1722,1.4880,0.0006,0.5255,0.1269
25-Apr-94 ,0.7170,0.0289,0.6983,0.5957,0.1517,0.0073,0.1735,1.4915,0.0006,0.5302,0.1273
26-Apr-94 ,0.7206,0.0289,0.6981,0.5958,0.1516,0.0073,0.1735,1.5035,0.0006,0.5300,0.1277
27-Apr-94 ,0.7159,0.0291,0.7023,0.5985,0.1521,0.0073,0.1743,1.5065,0.0006,0.5327,0.1285
28-Apr-94 ,0.7125,0.0291,0.7040,0.5999,0.1527,0.0073,0.1750,1.5075,0.0006,0.5342,0.1293
29-Apr-94 ,0.7139,0.0293,0.7092,0.6022,0.1537,0.0074,0.1760,1.5135,0.0006,0.5371,0.1307
02-May-94 ,0.7119,0.0294,0.7146,0.6074,0.1551,0.0074,0.1774,1.5185,0.0006,0.5403,0.1317
03-May-94 ,0.7064,0.0296,0.7143,0.6098,0.1557,0.0074,0.1779,1.5130,0.0006,0.5427,0.1317
04-May-94 ,0.7119,0.0293,0.7089,0.6026,0.1542,0.0073,0.1760,1.4995,0.0006,0.5372,0.1302
05-May-94 ,0.7150,0.0292,0.7059,0.6003,0.1533,0.0073,0.1751,1.4980,0.0006,0.5343,0.1296
06-May-94 ,0.7162,0.0292,0.7072,0.6015,0.1536,0.0073,0.1754,1.4940,0.0006,0.5355,0.1300
09-May-94 ,0.7190,0.0294,0.7082,0.6048,0.1545,0.0073,0.1765,1.4975,0.0006,0.5387,0.1303
10-May-94 ,0.7245,0.0291,0.6993,0.5983,0.1531,0.0073,0.1746,1.4910,0.0006,0.5330,0.1291
11-May-94 ,0.7220,0.0291,0.7005,0.5986,0.1530,0.0072,0.1745,1.4910,0.0006,0.5331,0.1292
12-May-94 ,0.7175,0.0291,0.7013,0.5995,0.1533,0.0073,0.1749,1.5000,0.0006,0.5342,0.1293
13-May-94 ,0.7225,0.0291,0.7013,0.5990,0.1532,0.0072,0.1746,1.4990,0.0006,0.5344,0.1291
16-May-94 ,0.7261,0.0290,0.7013,0.5975,0.1527,0.0072,0.1742,1.5030,0.0006,0.5320,0.1284
17-May-94 ,0.7276,0.0291,0.7060,0.6004,0.1533,0.0073,0.1751,1.5065,0.0006,0.5346,0.1293
18-May-94 ,0.7281,0.0293,0.7104,0.6037,0.1541,0.0073,0.1763,1.5085,0.0006,0.5377,0.1300
19-May-94 ,0.7289,0.0294,0.7094,0.6046,0.1544,0.0073,0.1767,1.5080,0.0006,0.5384,0.1300
20-May-94 ,0.7290,0.0295,0.7117,0.6073,0.1553,0.0074,0.1776,1.5095,0.0006,0.5413,0.1304
24-May-94 ,0.7358,0.0294,0.7075,0.6048,0.1544,0.0074,0.1768,1.5055,0.0006,0.5391,0.1291
25-May-94 ,0.7345,0.0296,0.7134,0.6079,0.1553,0.0074,0.1778,1.5100,0.0006,0.5423,0.1287
26-May-94 ,0.7325,0.0296,0.7125,0.6085,0.1554,0.0074,0.1781,1.5110,0.0006,0.5426,0.1291
27-May-94 ,0.7330,0.0295,0.7130,0.6084,0.1554,0.0074,0.1780,1.5095,0.0006,0.5426,0.1296
30-May-94 ,0.7345,0.0295,0.7122,0.6071,0.1551,0.0074,0.1776,1.5090,0.0006,0.5419,0.1290
31-May-94 ,0.7385,0.0295,0.7128,0.6081,0.1551,0.0074,0.1779,1.5120,0.0006,0.5421,0.1283
01-Jun-94 ,0.7410,0.0295,0.7138,0.6081,0.1547,0.0074,0.1778,1.5175,0.0006,0.5423,0.1270
02-Jun-94 ,0.7380,0.0294,0.7120,0.6049,0.1542,0.0073,0.1771,1.5110,0.0006,0.5398,0.1274
03-Jun-94 ,0.7380,0.0292,0.7060,0.5991,0.1529,0.0073,0.1756,1.5060,0.0006,0.5351,0.1268
06-Jun-94 ,0.7346,0.0291,0.7072,0.5997,0.1532,0.0073,0.1758,1.5090,0.0006,0.5351,0.1268
07-Jun-94 ,0.7332,0.0291,0.7082,0.6000,0.1532,0.0073,0.1755,1.5080,0.0006,0.5349,0.1261
08-Jun-94 ,0.7339,0.0291,0.7080,0.5986,0.1531,0.0073,0.1758,1.5070,0.0006,0.5340,0.1259
09-Jun-94 ,0.7353,0.0290,0.7067,0.5970,0.1530,0.0073,0.1756,1.5065,0.0006,0.5331,0.1259
10-Jun-94 ,0.7342,0.0292,0.7112,0.6002,0.1539,0.0073,0.1766,1.5085,0.0006,0.5360,0.1265
13-Jun-94 ,0.7360,0.0295,0.7207,0.6075,0.1552,0.0074,0.1780,1.5205,0.0006,0.5420,0.1267
14-Jun-94 ,0.7295,0.0295,0.7225,0.6085,0.1555,0.0074,0.1782,1.5185,0.0006,0.5432,0.1267
15-Jun-94 ,0.7315,0.0297,0.7278,0.6113,0.1563,0.0074,0.1791,1.5200,0.0006,0.5458,0.1273
16-Jun-94 ,0.7310,0.0298,0.7291,0.6127,0.1564,0.0074,0.1796,1.5205,0.0006,0.5469,0.1272
17-Jun-94 ,0.7330,0.0300,0.7358,0.6196,0.1573,0.0075,0.1812,1.5300,0.0006,0.5509,0.1288
20-Jun-94 ,0.7382,0.0303,0.7410,0.6257,0.1592,0.0075,0.1829,1.5385,0.0006,0.5576,0.1295
21-Jun-94 ,0.7439,0.0305,0.7441,0.6276,0.1595,0.0075,0.1835,1.5405,0.0006,0.5601,0.1304
22-Jun-94 ,0.7392,0.0302,0.7399,0.6229,0.1585,0.0075,0.1821,1.5315,0.0006,0.5553,0.1297
23-Jun-94 ,0.7330,0.0303,0.7419,0.6248,0.1590,0.0075,0.1827,1.5415,0.0006,0.5573,0.1301
24-Jun-94 ,0.7287,0.0305,0.7521,0.6305,0.1601,0.0076,0.1839,1.5520,0.0006,0.5610,0.1312
27-Jun-94 ,0.7210,0.0308,0.7564,0.6337,0.1613,0.0077,0.1850,1.5500,0.0006,0.5651,0.1317
28-Jun-94 ,0.7225,0.0307,0.7527,0.6325,0.1611,0.0077,0.1845,1.5510,0.0006,0.5640,0.1315
29-Jun-94 ,0.7250,0.0306,0.7510,0.6315,0.1607,0.0077,0.1841,1.5465,0.0006,0.5627,0.1308
30-Jun-94 ,0.7302,0.0306,0.7510,0.6319,0.1608,0.0076,0.1835,1.5495,0.0006,0.5613,0.1306
04-Jul-94 ,0.7295,0.0304,0.7465,0.6264,0.1596,0.0076,0.1828,1.5380,0.0006,0.5588,0.1281
05-Jul-94 ,0.7265,0.0306,0.7528,0.6315,0.1608,0.0077,0.1843,1.5415,0.0006,0.5630,0.1278
06-Jul-94 ,0.7260,0.0308,0.7570,0.6373,0.1620,0.0077,0.1855,1.5505,0.0006,0.5679,0.1276
07-Jul-94 ,0.7285,0.0307,0.7553,0.6360,0.1618,0.0077,0.1852,1.5420,0.0006,0.5672,0.1278
08-Jul-94 ,0.7290,0.0307,0.7576,0.6386,0.1622,0.0077,0.1860,1.5460,0.0006,0.5700,0.1290
11-Jul-94 ,0.7320,0.0316,0.7722,0.6513,0.1654,0.0079,0.1895,1.5645,0.0007,0.5804,0.1312
12-Jul-94 ,0.7355,0.0319,0.7785,0.6571,0.1671,0.0080,0.1915,1.5720,0.0007,0.5858,0.1331
13-Jul-94 ,0.7375,0.0316,0.7719,0.6515,0.1659,0.0079,0.1900,1.5670,0.0007,0.5814,0.1320
